id,name,user_id:id,date_start,date_end,street,zip,city,stage_id:id,build_type,project_type_id:id
scenario.buildingproject_-2144261558,"Gewerbehaus Von Allmen, Pfäffikon",scenario.res_users_rgl,2006-09-04,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261556,"Objekt: EFH Meier, Offerte: 2055157, 2055235",scenario.res_users_pgl,2006-08-15,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261554,"Objekt: ?, Offerte 2055482",scenario.res_users_cfr,2006-09-15,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261552,"Objekt: ?, Offerte 2055510",scenario.res_users_cfr,2006-09-15,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261550,"Objekt: ?, Offerte 2055098",scenario.res_users_cfr,2006-09-18,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261548,"Objekt: ?, Offerte 2054421",scenario.res_users_cfr,2006-09-19,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261546,"Objekt: ?, Offerte 2055507",scenario.res_users_cfr,2006-09-19,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261544,"Objekt: ?, Offerte 2055510",scenario.res_users_cfr,2006-09-19,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261542,"Kundenanlässe (Workshops, Events etc) mit Otto Fischer",scenario.res_users_sku,2006-09-21,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261541,Wohnsiedlung Leimbach,scenario.res_users_sku,2006-09-26,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261539,Wohnüberbauung am Katzenbach,scenario.res_users_sku,2006-09-27,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261537,"Objekt: ?, Offerte: 2055693",scenario.res_users_cfr,2006-09-18,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261535,"Objekt: Valsecchi Bellerivestrasse 241, Auftragsnummer: 108141.001, Offerte: 2051551",scenario.res_users_cfr,2005-09-01,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261533,"ZIS, Eichenweg 2, Adliswil",scenario.res_users_dla,2006-04-24,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261531,"Objekt: ?, Auftragsnummer: LAOOM153901, Offerte 2055787",scenario.res_users_cfr,2006-09-26,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261529,Objekt: Treppenhaus umbau MFH,scenario.res_users_cfr,2006-02-16,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261527,"Objekt: Kontainer SBB, Offerte: 2051555",scenario.res_users_cfr,2006-09-01,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261525,"Objekt: ETH Zürich ETZ, Gloriastrasse, Auftragsnummer 312224.00",scenario.res_users_sku,2006-09-06,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261523,"Objekt: Museum Rietberg, Offerte: 2054409",scenario.res_users_sku,2006-05-16,2009-12-31,,,,specific_building_project.stage_won_completed,,specific_building_project.type_public
scenario.buildingproject_-2144261521,"Objekt: Glattpark Logo, Opfikon",scenario.res_users_sku,2006-10-18,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261519,"Objekt: Kreuzkapelle, Wettingen",scenario.res_users_sku,2006-10-18,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261517,"Objekt: Buckhauserstrasse, Zürich",scenario.res_users_sku,2006-10-18,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261515,"Objekt: Belle Vue, Berikon, Wohnbau",scenario.res_users_sku,2006-10-18,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261513,"Objekt: Chesa Arno, Silvaplana",scenario.res_users_sku,2006-10-20,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261511,"Objekt: Carlton Hotel, St. Moritz",scenario.res_users_sku,2006-10-20,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261509,Objekt: ?,scenario.res_users_sku,2006-10-20,2009-12-31,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2144261507,"Objekt: Schulungsplätze LCN, Offerte: 2055557",scenario.res_users_rgl,2006-09-06,2009-12-31,,,,specific_building_project.stage_won_completed,,
