id,start_datetime,name,partner_ids:id,categ_ids:id,user_id:id,description,opportunity_id:id,stop_datetime
scenario.phonecall_-2142131325,2015-11-03 11:26:39,Projekt ist zurückgestellt worden bis Mai 2016,,specific_building_project.event_type_phonecall,scenario.res_users_dla,"{\rtf1\deff0{\fonttbl{\f0 Calibri;}{\f1 tahoma;}}{\colortbl ;\red0\green0\blue0 ;\red0\green0\blue255 ;}{\*\defchp \f1\fs20\cf1}{\*\listoverridetable}{\stylesheet {\ql\f1\fs20\cf1 Normal;}{\*\cs1\f1\fs20\cf1 Default Paragraph Font;}{\*\cs2\sbasedon1\f1\fs20\cf1 Line Number;}{\*\cs3\ul\f1\fs20\cf2 Hyperlink;}{\*\ts4\tsrowd\f1\fs20\cf1\ql\trautofit1\tscellpaddfl3\tscellpaddl108\tscellpaddfr3\tscellpaddr108\tsvertalt\cltxlrtb Normal Table;}{\*\ts5\tsrowd\sbasedon4\f1\fs20\cf1\ql\trbrdrt\brdrs\brdrw10\trbrdrl\brdrs\brdrw10\trbrdrb\brdrs\brdrw10\trbrdrr\brdrs\brdrw10\trbrdrh\brdrs\brdrw10\trbrdrv\brdrs\brdrw10\trautofit1\tscellpaddfl3\tscellpaddl108\tscellpaddfr3\tscellpaddr108\tsvertalt\cltxlrtb Table Simple 1;}}\nouicompat\splytwnine\htmautsp\pard\plain\ql{\lang1031\langfe1031\f1\fs20\cf1 Habe Rico gefragt, ob ich }{\lang1031\langfe1031\f1\fs20\cf1 Ende M\u228\'e4rz 2016 }{\lang1031\langfe1031\f1\fs20\cf1 nochmals auf ihn zukommen }{\lang1031\langfe1031\f1\fs20\cf1 kann.}\f1\fs20\cf1\par}",scenario.crm_lead_dummy_calls1,2015-11-03 12:26:39
scenario.phonecall_-2142224141,2015-08-28 11:13:46,Termin für Support vor Ort vereinbart,,specific_building_project.event_type_phonecall,scenario.res_users_mka,{\rtf1\deff0{\fonttbl{\f0 Calibri;}{\f1 tahoma;}}{\colortbl ;\red0\green0\blue0 ;\red0\green0\blue255 ;}{\*\defchp \f1\fs20\cf1}{\*\listoverridetable}{\stylesheet {\ql\f1\fs20\cf1 Normal;}{\*\cs1\f1\fs20\cf1 Default Paragraph Font;}{\*\cs2\sbasedon1\f1\fs20\cf1 Line Number;}{\*\cs3\ul\f1\fs20\cf2 Hyperlink;}{\*\ts4\tsrowd\f1\fs20\cf1\ql\trautofit1\tscellpaddfl3\tscellpaddl108\tscellpaddfr3\tscellpaddr108\tsvertalt\cltxlrtb Normal Table;}{\*\ts5\tsrowd\sbasedon4\f1\fs20\cf1\ql\trbrdrt\brdrs\brdrw10\trbrdrl\brdrs\brdrw10\trbrdrb\brdrs\brdrw10\trbrdrr\brdrs\brdrw10\trbrdrh\brdrs\brdrw10\trbrdrv\brdrs\brdrw10\trautofit1\tscellpaddfl3\tscellpaddl108\tscellpaddfr3\tscellpaddr108\tsvertalt\cltxlrtb Table Simple 1;}}\nouicompat\splytwnine\htmautsp\pard\plain\ql{\lang2055\langfe2055\f1\fs20\cf1 3.9. 13.30 Uhr direkt bei der Grischuna Landquart}\lang2055\langfe2055\f1\fs20\cf1\par\pard\plain\ql{\lang2055\langfe2055\f1\fs20\cf1 Martin Berni}{\lang2055\langfe2055\f1\fs20\cf1  wird dort sein.}\lang2055\langfe2055\f1\fs20\cf1\par\pard\plain\ql\lang2055\langfe2055\f1\fs20\cf1\par\pard\plain\ql{\lang2055\langfe2055\f1\fs20\cf1 Ersatzmelder und Silikon sind bereits bestellt.}\f1\fs20\cf1\par},scenario.crm_lead_dummy_calls2,2015-08-28 12:13:46
scenario.phonecall_-2142224162,2015-08-26 09:00:00,Wieder Probleme mit Nässe in den KNX-Meldern,,specific_building_project.event_type_phonecall,scenario.res_users_mka,"{\rtf1\deff0{\fonttbl{\f0 Calibri;}{\f1 tahoma;}}{\colortbl ;\red0\green0\blue0 ;\red0\green0\blue255 ;}{\*\defchp \f1\fs20\cf1}{\*\listoverridetable}{\stylesheet {\ql\f1\fs20\cf1 Normal;}{\*\cs1\f1\fs20\cf1 Default Paragraph Font;}{\*\cs2\sbasedon1\f1\fs20\cf1 Line Number;}{\*\cs3\ul\f1\fs20\cf2 Hyperlink;}{\*\ts4\tsrowd\f1\fs20\cf1\ql\trautofit1\tscellpaddfl3\tscellpaddl108\tscellpaddfr3\tscellpaddr108\tsvertalt\cltxlrtb Normal Table;}{\*\ts5\tsrowd\sbasedon4\f1\fs20\cf1\ql\trbrdrt\brdrs\brdrw10\trbrdrl\brdrs\brdrw10\trbrdrb\brdrs\brdrw10\trbrdrr\brdrs\brdrw10\trbrdrh\brdrs\brdrw10\trbrdrv\brdrs\brdrw10\trautofit1\tscellpaddfl3\tscellpaddl108\tscellpaddfr3\tscellpaddr108\tsvertalt\cltxlrtb Table Simple 1;}}\nouicompat\splytwnine\htmautsp\pard\plain\ql{\lang2055\langfe2055\f1\fs20\cf1 In einem Raum sind nun bereits zum dritten Mal }{\lang2055\langfe2055\f1\fs20\cf1 beide KNX-Melder ausgestiegen da sie mit Wasser gef\u252\'fcllt waren. Er bestellt zwei Ersatzger\u228\'e4te \u252\'fcber den GH und l\u228\'e4s}{\lang2055\langfe2055\f1\fs20\cf1 st diese durch Martin ersetzen.}\lang2055\langfe2055\f1\fs20\cf1\par\pard\plain\ql{\lang2055\langfe2055\f1\fs20\cf1 Er w\u228\'e4re froh, wenn wir uns mal vor Ort treffen k\u246\'f6nnten. Habe ihm vorgeschlagen, d}{\lang2055\langfe2055\f1\fs20\cf1 ie Melder hinten ganz auszugiessen.}\f1\fs20\cf1\par}",scenario.crm_lead_dummy_calls2,2015-08-26 10:00:00
scenario.phonecall_-2142164748,2015-10-02 15:54:30,Probleme mit BWM in Nebenraum,,specific_building_project.event_type_phonecall,scenario.res_users_mka,"{\rtf1\deff0{\fonttbl{\f0 Calibri;}{\f1 tahoma;}}{\colortbl ;\red0\green0\blue0 ;\red0\green0\blue255 ;}{\*\defchp \f1\fs20\cf1}{\*\listoverridetable}{\stylesheet {\ql\f1\fs20\cf1 Normal;}{\*\cs1\f1\fs20\cf1 Default Paragraph Font;}{\*\cs2\sbasedon1\f1\fs20\cf1 Line Number;}{\*\cs3\ul\f1\fs20\cf2 Hyperlink;}{\*\ts4\tsrowd\f1\fs20\cf1\ql\trautofit1\tscellpaddfl3\tscellpaddl108\tscellpaddfr3\tscellpaddr108\tsvertalt\cltxlrtb Normal Table;}{\*\ts5\tsrowd\sbasedon4\f1\fs20\cf1\ql\trbrdrt\brdrs\brdrw10\trbrdrl\brdrs\brdrw10\trbrdrb\brdrs\brdrw10\trbrdrr\brdrs\brdrw10\trbrdrh\brdrs\brdrw10\trbrdrv\brdrs\brdrw10\trautofit1\tscellpaddfl3\tscellpaddl108\tscellpaddfr3\tscellpaddr108\tsvertalt\cltxlrtb Table Simple 1;}}\nouicompat\splytwnine\htmautsp\pard\plain\ql{\lang2055\langfe2055\f1\fs20\cf1 L}{\lang2055\langfe2055\f1\fs20\cf1 icht l\u246\'f6scht nicht mehr. Nun hat sich herausgestellt, dass es ein PM war und kein BM. Der hat sicherlich wieder ein }{\lang2055\langfe2055\f1\fs20\cf1 Kondensator-defekt. Lasse ihm }{\lang2055\langfe2055\f1\fs20\cf1 kostenlos zwei PD3 S 360 UP }{\lang2055\langfe2055\f1\fs20\cf1 zukommen.}\f1\fs20\cf1\par}",scenario.crm_lead_dummy_calls3,2015-10-02 16:54:30
scenario.phonecall_-2142142430,2015-10-23 08:50:13,Immer wieder Melderausfälle,,specific_building_project.event_type_phonecall,scenario.res_users_mka,"{\rtf1\deff0{\fonttbl{\f0 Calibri;}{\f1 tahoma;}}{\colortbl ;\red0\green0\blue0 ;\red0\green0\blue255 ;}{\*\defchp \f1\fs20\cf1}{\*\listoverridetable}{\stylesheet {\ql\f1\fs20\cf1 Normal;}{\*\cs1\f1\fs20\cf1 Default Paragraph Font;}{\*\cs2\sbasedon1\f1\fs20\cf1 Line Number;}{\*\cs3\ul\f1\fs20\cf2 Hyperlink;}{\*\ts4\tsrowd\f1\fs20\cf1\ql\trautofit1\tscellpaddfl3\tscellpaddl108\tscellpaddfr3\tscellpaddr108\tsvertalt\cltxlrtb Normal Table;}{\*\ts5\tsrowd\sbasedon4\f1\fs20\cf1\ql\trbrdrt\brdrs\brdrw10\trbrdrl\brdrs\brdrw10\trbrdrb\brdrs\brdrw10\trbrdrr\brdrs\brdrw10\trbrdrh\brdrs\brdrw10\trbrdrv\brdrs\brdrw10\trautofit1\tscellpaddfl3\tscellpaddl108\tscellpaddfr3\tscellpaddr108\tsvertalt\cltxlrtb Table Simple 1;}}\nouicompat\splytwnine\htmautsp\pard\plain\ql{\lang2055\langfe2055\f1\fs20\cf1 Hat PD2 UP Master 1C im Einsatz }{\lang2055\langfe2055\f1\fs20\cf1 und alleine in den letzten }{\lang2055\langfe2055\f1\fs20\cf1 zwei}{\lang2055\langfe2055\f1\fs20\cf1  Monaten wieder }{\lang2055\langfe2055\f1\fs20\cf1 3 St\u252\'fcck ers}{\lang2055\langfe2055\f1\fs20\cf1 ezt da das Licht nicht mehr l\u246\'f6schte.}\lang2055\langfe2055\f1\fs20\cf1\par\pard\plain\ql{\lang2055\langfe2055\f1\fs20\cf1 Einer hatte er gerade zur Hand (0410) --> von Grossauer deutscher Melder erhalten.}\lang2055\langfe2055\f1\fs20\cf1\par\pard\plain\ql\f1\fs20\cf1\par\pard\plain\ql{\lang2055\langfe2055\f1\fs20\cf1 Hat die Ersatzmelder bereits bei EM bestellt und eingebaut. }{\lang2055\langfe2055\f1\fs20\cf1 Der Kunde hat aber verst\u228\'e4ndlicherweise ein Problem damit, dass die Melder bereits nach 4 Jahren ausfallen. }{\lang2055\langfe2055\f1\fs20\cf1 Setzt ausschliesslich unsere Melder ein und ist nun etwas verunsichert. Habe ihm Kondensator-Problematik erkl\u228\'e4rt.}\lang2055\langfe2055\f1\fs20\cf1\par\pard\plain\ql\f1\fs20\cf1\par\pard\plain\ql{\lang2055\langfe2055\f1\fs20\cf1 Lasse ihm als Ersatz f\u252\'fcr die}{\lang2055\langfe2055\f1\fs20\cf1  drei}{\lang2055\langfe2055\f1\fs20\cf1  Melder (}{\lang2055\langfe2055\f1\fs20\cf1 welcher er dem Kunden daf\u252\'fcr nicht in Rechnung stellt) und als Umtriebsentsch\u228\'e4digung 4 RC-plus next zukommen. Diese setzt er laufend ein und kann er gut gebrauchen.}\f1\fs20\cf1\par}",scenario.crm_lead_dummy_calls4,2015-10-23 09:50:13
scenario.phonecall_-2142393321,2015-03-30 08:58:09,Rückruf zu ELPA 3 Problem,,specific_building_project.event_type_phonecall,scenario.res_users_mbl,{\rtf1\deff0{\fonttbl{\f0 Calibri;}{\f1 tahoma;}}{\colortbl ;\red0\green0\blue0 ;\red0\green0\blue255 ;}{\*\defchp \f1\fs20\cf1}{\*\listoverridetable}{\stylesheet {\ql\f1\fs20\cf1 Normal;}{\*\cs1\f1\fs20\cf1 Default Paragraph Font;}{\*\cs2\sbasedon1\f1\fs20\cf1 Line Number;}{\*\cs3\ul\f1\fs20\cf2 Hyperlink;}{\*\ts4\tsrowd\f1\fs20\cf1\ql\trautofit1\tscellpaddfl3\tscellpaddl108\tscellpaddfr3\tscellpaddr108\tsvertalt\cltxlrtb Normal Table;}{\*\ts5\tsrowd\sbasedon4\f1\fs20\cf1\ql\trbrdrt\brdrs\brdrw10\trbrdrl\brdrs\brdrw10\trbrdrb\brdrs\brdrw10\trbrdrr\brdrs\brdrw10\trbrdrh\brdrs\brdrw10\trbrdrv\brdrs\brdrw10\trautofit1\tscellpaddfl3\tscellpaddl108\tscellpaddfr3\tscellpaddr108\tsvertalt\cltxlrtb Table Simple 1;}}\nouicompat\splytwnine\htmautsp\pard\plain\ql{\lang2055\langfe2055\f1\fs20\cf1 Habe }{\lang2055\langfe2055\f1\fs20\cf1 herr cavalasca \u252\'fcber den Term}{\lang2055\langfe2055\f1\fs20\cf1 in bez\u252\'fcglich Minuterie}{\lang2055\langfe2055\f1\fs20\cf1  Test bei Theben informiert.}{\lang2055\langfe2055\f1\fs20\cf1  >>>> im verlaufe april...}\lang2055\langfe2055\f1\fs20\cf1\par\pard\plain\ql\f1\fs20\cf1\par\pard\plain\ql{\lang2055\langfe2055\f1\fs20\cf1 Da es bis jetzt kein negatives Feedback zu}{\lang2055\langfe2055\f1\fs20\cf1 m Treppenhaus mit der }{\lang2055\langfe2055\f1\fs20\cf1 Elpa 3 gibt habe ich empfohlen die Minuterien mal zu tauschen. Da er die Sch\u252\'fctzen auch tauschen will habe ich }{\lang2055\langfe2055\f1\fs20\cf1 ihm empfohlen auf Nulldurchgangsschaltung oder Hohe}{\lang2055\langfe2055\f1\fs20\cf1 -}{\lang2055\langfe2055\f1\fs20\cf1 E}{\lang2055\langfe2055\f1\fs20\cf1 inschaltspitzen}{\lang2055\langfe2055\f1\fs20\cf1 -Festigkeit}{\lang2055\langfe2055\f1\fs20\cf1  zu schauen.}\lang2055\langfe2055\f1\fs20\cf1\par\pard\plain\ql\f1\fs20\cf1\par\pard\plain\ql{\lang2055\langfe2055\f1\fs20\cf1 Sob}{\lang2055\langfe2055\f1\fs20\cf1 a}{\lang2055\langfe2055\f1\fs20\cf1 ld ich etwas von Theben h\u246\'f6}{\lang2055\langfe2055\f1\fs20\cf1 re werde ich mich wieder bei ihm melden....}\f1\fs20\cf1\par},scenario.crm_lead_dummy_calls5,2015-03-30 09:58:09
scenario.phonecall_-2142349727,2015-05-22 08:33:25,Nachfrage bezüglich Problemem mit Theben elpa 3,,specific_building_project.event_type_phonecall,scenario.res_users_fbo,{\rtf1\deff0{\fonttbl{\f0 Calibri;}{\f1 tahoma;}}{\colortbl ;\red0\green0\blue0 ;\red0\green0\blue255 ;}{\*\defchp \f1\fs20\cf1}{\*\listoverridetable}{\stylesheet {\ql\f1\fs20\cf1 Normal;}{\*\cs1\f1\fs20\cf1 Default Paragraph Font;}{\*\cs2\sbasedon1\f1\fs20\cf1 Line Number;}{\*\cs3\ul\f1\fs20\cf2 Hyperlink;}{\*\ts4\tsrowd\f1\fs20\cf1\ql\trautofit1\tscellpaddfl3\tscellpaddl108\tscellpaddfr3\tscellpaddr108\tsvertalt\cltxlrtb Normal Table;}{\*\ts5\tsrowd\sbasedon4\f1\fs20\cf1\ql\trbrdrt\brdrs\brdrw10\trbrdrl\brdrs\brdrw10\trbrdrb\brdrs\brdrw10\trbrdrr\brdrs\brdrw10\trbrdrh\brdrs\brdrw10\trbrdrv\brdrs\brdrw10\trautofit1\tscellpaddfl3\tscellpaddl108\tscellpaddfr3\tscellpaddr108\tsvertalt\cltxlrtb Table Simple 1;}}\nouicompat\splytwnine\htmautsp\pard\plain\ql{\lang2055\langfe2055\f1\fs20\cf1 W}{\lang2055\langfe2055\f1\fs20\cf1 \u252\'fcnscht n\u228\'e4chste Woche ein Fe}{\lang2055\langfe2055\f1\fs20\cf1 edback bez\u252\'fcglich den Probleme}{\lang2055\langfe2055\f1\fs20\cf1 n elpa 3 + rc hu. }\lang2055\langfe2055\f1\fs20\cf1\par\pard\plain\ql\f1\fs20\cf1\par\pard\plain\ql{\lang2055\langfe2055\f1\fs20\cf1 Info an MBL\~und RHU}\f1\fs20\cf1\par},scenario.crm_lead_dummy_calls5,2015-05-22 09:33:25
scenario.phonecall_-2142220579,2015-09-01 15:47:10,"Rücksprache, Bedarf",,specific_building_project.event_type_phonecall,scenario.res_users_dla,"{\rtf1\deff0{\fonttbl{\f0 Calibri;}{\f1 tahoma;}}{\colortbl ;\red0\green0\blue0 ;\red0\green0\blue255 ;}{\*\defchp \f1\fs20\cf1}{\*\listoverridetable}{\stylesheet {\ql\f1\fs20\cf1 Normal;}{\*\cs1\f1\fs20\cf1 Default Paragraph Font;}{\*\cs2\sbasedon1\f1\fs20\cf1 Line Number;}{\*\cs3\ul\f1\fs20\cf2 Hyperlink;}{\*\ts4\tsrowd\f1\fs20\cf1\ql\trautofit1\tscellpaddfl3\tscellpaddl108\tscellpaddfr3\tscellpaddr108\tsvertalt\cltxlrtb Normal Table;}{\*\ts5\tsrowd\sbasedon4\f1\fs20\cf1\ql\trbrdrt\brdrs\brdrw10\trbrdrl\brdrs\brdrw10\trbrdrb\brdrs\brdrw10\trbrdrr\brdrs\brdrw10\trbrdrh\brdrs\brdrw10\trbrdrv\brdrs\brdrw10\trautofit1\tscellpaddfl3\tscellpaddl108\tscellpaddfr3\tscellpaddr108\tsvertalt\cltxlrtb Table Simple 1;}}\nouicompat\splytwnine\htmautsp\pard\plain\ql{\lang1031\langfe1031\f1\fs20\cf1 Hat das Mengenger}{\lang1031\langfe1031\f1\fs20\cf1 \u252\'fcst aus der Aus}{\lang1031\langfe1031\f1\fs20\cf1 schreibung. Planer habe di}{\lang1031\langfe1031\f1\fs20\cf1 eses so erstellt. Weiss aber nicht}{\lang1031\langfe1031\f1\fs20\cf1  gerade wer}{\lang1031\langfe1031\f1\fs20\cf1  der P}{\lang1031\langfe1031\f1\fs20\cf1 laner ist.}\lang1031\langfe1031\f1\fs20\cf1\par\pard\plain\ql{\lang1031\langfe1031\f1\fs20\cf1 Habe ihm unseren Vertriebsweg erkl\u228\'e4rt, }{\lang1031\langfe1031\f1\fs20\cf1 hat auch schon eine Offerte von OF. Habe ihm folgendes }{\lang1031\langfe1031\f1\fs20\cf1 v}{\lang1031\langfe1031\f1\fs20\cf1 orgeschlagen:}\lang1031\langfe1031\f1\fs20\cf1\par\pard\plain\ql\f1\fs20\cf1\par\pard\plain\ql{\lang1031\langfe1031\f1\fs20\cf1 - Wir senden OF\~mit diesem Bedar}{\lang1031\langfe1031\f1\fs20\cf1 f nochmals eine Offerte und nehmen mit der bestehenden Offerte bezug}\lang1031\langfe1031\f1\fs20\cf1\par\pard\plain\ql{\lang1031\langfe1031\f1\fs20\cf1 - }{\lang1031\langfe1031\f1\fs20\cf1 B}{\lang1031\langfe1031\f1\fs20\cf1 evor Herr }{\lang1031\langfe1031\f1\fs20\cf1 von Rotz }{\lang1031\langfe1031\f1\fs20\cf1 bestellen wi}{\lang1031\langfe1031\f1\fs20\cf1 ll, wird er sich noch}{\lang1031\langfe1031\f1\fs20\cf1 mals mit mir in Verbindung setzen, um die detaillierten Mengenanzahl zu evaluieren}\lang1031\langfe1031\f1\fs20\cf1\par\pard\plain\ql\f1\fs20\cf1\par\pard\plain\ql{\lang1031\langfe1031\f1\fs20\cf1 Objekt:\~Flugplatz Alpnach}\f1\fs20\cf1\par}",scenario.crm_lead_dummy_calls6,2015-09-01 16:47:10
scenario.phonecall_-2142209885,2015-09-14 16:24:04,Teilbestellungen bei EM,,specific_building_project.event_type_phonecall,scenario.res_users_dla,"{\rtf1\deff0{\fonttbl{\f0 Calibri;}{\f1 tahoma;}}{\colortbl ;\red0\green0\blue0 ;\red0\green0\blue255 ;}{\*\defchp \f1\fs20\cf1}{\*\listoverridetable}{\stylesheet {\ql\f1\fs20\cf1 Normal;}{\*\cs1\f1\fs20\cf1 Default Paragraph Font;}{\*\cs2\sbasedon1\f1\fs20\cf1 Line Number;}{\*\cs3\ul\f1\fs20\cf2 Hyperlink;}{\*\ts4\tsrowd\f1\fs20\cf1\ql\trautofit1\tscellpaddfl3\tscellpaddl108\tscellpaddfr3\tscellpaddr108\tsvertalt\cltxlrtb Normal Table;}{\*\ts5\tsrowd\sbasedon4\f1\fs20\cf1\ql\trbrdrt\brdrs\brdrw10\trbrdrl\brdrs\brdrw10\trbrdrb\brdrs\brdrw10\trbrdrr\brdrs\brdrw10\trbrdrh\brdrs\brdrw10\trbrdrv\brdrs\brdrw10\trautofit1\tscellpaddfl3\tscellpaddl108\tscellpaddfr3\tscellpaddr108\tsvertalt\cltxlrtb Table Simple 1;}}\nouicompat\splytwnine\htmautsp\pard\plain\ql{\lang1031\langfe1031\f1\fs20\cf1 Adi hat m\u246\'f6glicher}{\lang1031\langfe1031\f1\fs20\cf1 wei}{\lang1031\langfe1031\f1\fs20\cf1 se mehr als 2-3 Lose. Es }{\lang1031\langfe1031\f1\fs20\cf1 sei}{\lang1031\langfe1031\f1\fs20\cf1  ihm aber noch wichtig, dass er die Konditionen gew\u228\'e4hren kann, auch zur Kundenbindung hin.}\lang1031\langfe1031\f1\fs20\cf1\par\pard\plain\ql{\lang1031\langfe1031\f1\fs20\cf1 Er stellt ebenso in Aussicht, dass dies f\u252\'fcr uns in weiteren Projekten zu Gute kommen kann, was nachvollziehbar ist. Habe mit ihm abg}{\lang1031\langfe1031\f1\fs20\cf1 em}{\lang1031\langfe1031\f1\fs20\cf1 acht,}\lang1031\langfe1031\f1\fs20\cf1\par\pard\plain\ql{\lang1031\langfe1031\f1\fs20\cf1 dass Adi die Lose quantifizieren wird u}{\lang1031\langfe1031\f1\fs20\cf1 nd dann zuletzt eine Be}{\lang1031\langfe1031\f1\fs20\cf1 stellung f\u252\'fcr die Komm. Flu}{\lang1031\langfe1031\f1\fs20\cf1 gplatz A}{\lang1031\langfe1031\f1\fs20\cf1 lpnach gem}{\lang1031\langfe1031\f1\fs20\cf1 acht wird um das Lager wieder aufzu-}\lang1031\langfe1031\f1\fs20\cf1\par\pard\plain\ql{\lang1031\langfe1031\f1\fs20\cf1 f\u252\'fcllen. So machte es f\u252\'fcr de}{\lang1031\langfe1031\f1\fs20\cf1 n OR\~ach wieder }{\lang1031\langfe1031\f1\fs20\cf1 etwas a}{\lang1031\langfe1031\f1\fs20\cf1 us.}\f1\fs20\cf1\par}",scenario.crm_lead_dummy_calls6,2015-09-14 17:24:04
scenario.phonecall_-2142279042,2015-08-10 16:57:53,Termin für Support vor Ort koordinieren,,specific_building_project.event_type_phonecall,scenario.res_users_mka,"{\rtf1\deff0{\fonttbl{\f0 Calibri;}{\f1 tahoma;}}{\colortbl ;\red0\green0\blue0 ;\red0\green0\blue255 ;}{\*\defchp \f1\fs20\cf1}{\*\listoverridetable}{\stylesheet {\ql\f1\fs20\cf1 Normal;}{\*\cs1\f1\fs20\cf1 Default Paragraph Font;}{\*\cs2\sbasedon1\f1\fs20\cf1 Line Number;}{\*\cs3\ul\f1\fs20\cf2 Hyperlink;}{\*\ts4\tsrowd\f1\fs20\cf1\ql\trautofit1\tscellpaddfl3\tscellpaddl108\tscellpaddfr3\tscellpaddr108\tsvertalt\cltxlrtb Normal Table;}{\*\ts5\tsrowd\sbasedon4\f1\fs20\cf1\ql\trbrdrt\brdrs\brdrw10\trbrdrl\brdrs\brdrw10\trbrdrb\brdrs\brdrw10\trbrdrr\brdrs\brdrw10\trbrdrh\brdrs\brdrw10\trbrdrv\brdrs\brdrw10\trautofit1\tscellpaddfl3\tscellpaddl108\tscellpaddfr3\tscellpaddr108\tsvertalt\cltxlrtb Table Simple 1;}}\nouicompat\splytwnine\htmautsp\pard\plain\ql{\lang2055\langfe2055\f1\fs20\cf1 Ist nicht mehr im B\u252\'fcro. Liess ihm ausrich}{\lang2055\langfe2055\f1\fs20\cf1 ten, dass ich mich }{\lang2055\langfe2055\f1\fs20\cf1 am 12.8. um 8 Uhr mit Patrick Kunz treffe um die Probleme zu}{\lang2055\langfe2055\f1\fs20\cf1  besprechen und gegebenenfalls die Melder gleich zu ersetzen. Um R\u252\'fcckruf ge}{\lang2055\langfe2055\f1\fs20\cf1 be}{\lang2055\langfe2055\f1\fs20\cf1 ten.}\f1\fs20\cf1\par}",scenario.crm_lead_dummy_calls7,2015-08-10 17:57:53
