id,name,parent_id:id,property_stock_journal:id,property_stock_valuation_account_id,property_account_income_categ,property_account_expense_categ,property_stock_account_input_categ,property_stock_account_output_categ
scenario.product_category_R0,Rabattgruppe 000,product.product_category_1,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R201,Rabattgruppe 201,product.product_category_1,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R202,Rabattgruppe 202,product.product_category_1,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R203,Rabattgruppe 203,product.product_category_1,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R204,Rabattgruppe 204,product.product_category_1,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R205,Rabattgruppe 205,product.product_category_1,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R206,Rabattgruppe 206,product.product_category_1,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R0_001,Bewegungsmelder,scenario.product_category_R0,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R0_002,Präsenzmelder,scenario.product_category_R0,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R0_005,Dämmerungsschalter,scenario.product_category_R0,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R0_008,Leuchtmittel,scenario.product_category_R0,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R0_009,IR-Fernbedienung,scenario.product_category_R0,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R0_010,Funk-Technik,scenario.product_category_R0,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R0_019,Montagezubehör,scenario.product_category_R0,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R0_021,AP-Gehäuse,scenario.product_category_R0,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R0_026,Abdeckclips,scenario.product_category_R0,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R0_029,Anschlussklemme,scenario.product_category_R0,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R0_031,Abdeckrahmen,scenario.product_category_R0,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R0_032,Befestigungsplatte,scenario.product_category_R0,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R0_033,Treppenhausautomat,scenario.product_category_R0,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R0_035,Leistungsteil,scenario.product_category_R0,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R0_040,Einbaugehäuse,scenario.product_category_R0,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R0_050,Bus-Technik,scenario.product_category_R0,stock.stock_journal,1200,3001,4200,4200,4200
scenario.product_category_R0_090,Reparaturwesen,scenario.product_category_R0,stock.stock_journal,1200,3001,4200,4200,4200
