id,name,description,active,default_code,categ_id:id,list_price,standard_price,weight,taxes_id,property_account_income_id,property_account_expense_id,type,state,uom_id:id,valuation
scenario.product_100000,Vorlage-Artikel Lieferant: HugeWin,,TRUE,100000,scenario.product_category_R0_099,0,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_100001,Vorlage-Artikel Lieferant: B.E.G.,,TRUE,100001,scenario.product_category_R0_099,0,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_100002,Vorlage-Artikel Lieferant: Elektro Material AG,,TRUE,100002,scenario.product_category_R0_099,0,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_100004,Vorlage-Artikel: IL,,TRUE,100004,scenario.product_category_R203_101,0,0,0,"Taxe VRG 700180,TVA due à 8.0% (Incl. TN)",3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_141068,PD2 S MAX NME DUO-DALI,"Präsenzmelder Dimm 2x DALI-DSI, ohne Farbblende",TRUE,141068,scenario.product_category_R201_002,328,0.9,0,TVA due à 8.0% (Incl. TN),3200,4200,product,draft,product.product_uom_unit,manual_periodic
scenario.product_141103,AL2 RC-plus 130/DNW,"Leuchte mit Bewegungsmelder, weiss",TRUE,141103,scenario.product_category_R202_004,225,52.74,2.7,"Taxe VRG 700180,TVA due à 8.0% (Incl. TN)",3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_141129,AL2 RC-plus 130/DNS,"Leuchte mit Bewegungsmelder, schwarz",TRUE,141129,scenario.product_category_R202_004,225,52.74,1.7,"Taxe VRG 700180,TVA due à 8.0% (Incl. TN)",3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_141131,CDS R,Dämmerungsschalter,TRUE,141131,scenario.product_category_R205_005,51,8.946,0.072,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_141132,F2 CM/W,"Strahler für Bewegungsmelder RC-plus next, weiss",TRUE,141132,scenario.product_category_R202_003,45,13.5,1.68,"Taxe VRG 700180,TVA due à 8.0% (Incl. TN)",3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_141133,F2 CM/S,"Strahler für Bewegungsmelder RC-plus next, schwarz",TRUE,141133,scenario.product_category_R202_003,45,13.5,1.68,"Taxe VRG 700180,TVA due à 8.0% (Incl. TN)",3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_141138,GL-AL-OP,Ersatzglas Opal,TRUE,141138,scenario.product_category_R202_007,33,7.4,1.1,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_141139,GL-AL-BB,Ersatzglas Blasen,TRUE,141139,scenario.product_category_R202_007,35,7.75,0.755,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_141142,AL2 RC-plus/DNW,"Leuchte ohne Bewegungsmelder, weiss",TRUE,141142,scenario.product_category_R202_004,192,40.9,2.6,"Taxe VRG 700180,TVA due à 8.0% (Incl. TN)",3200,4200,product,sellable,product.product_uom_unit,manual_periodic
