id,product_tmpl_id:id,name:id,min_qty,product_name,product_code,delay,sequence,price,min_qty
scenario.supplierinfo_972_1,scenario.product_141729_product_template,scenario.partner_10425,1,Befestigungsplatte 1x1 Feller 77x77mm,376163000,7,2,0.5,1
scenario.supplierinfo_988_1,scenario.product_141730_product_template,scenario.partner_10425,1,BP KAL,376163003,7,2,0.45,1
scenario.supplierinfo_987_1,scenario.product_141738_product_template,scenario.partner_10425,1,APG KAL/W,283910003,7,2,1.65,1
scenario.supplierinfo_963_1,scenario.product_142077_product_template,scenario.partner_10425,1,"AP Gehäuse Basico ws H54mm Loch Ø43mm, mit Bef. Pl",282 966 103,7,2,2.35,1
scenario.supplierinfo_970_1,scenario.product_142081_product_template,scenario.partner_10425,1,"AP Gehäuse Basico sz H54mm Loch Ø43mm, mit Bef. Pl",282 966 153,7,2,2.2,1
scenario.supplierinfo_1679_1,scenario.product_142085_product_template,scenario.partner_10425,1,AR EDI/BE,334911810,7,2,0.7,1
scenario.supplierinfo_1680_1,scenario.product_142086_product_template,scenario.partner_10425,1,AR EDI/B,334911890,7,2,0.7,1
scenario.supplierinfo_998_1,scenario.product_142221_product_template,scenario.partner_10425,1,"Kappe m.Grundplatte 54mm coffee, EDIZIOdue",283901890,7,2,1.2,1
scenario.supplierinfo_999_1,scenario.product_142222_product_template,scenario.partner_10425,1,"Kappe m.Grundplatte 54mm sand, EDIZIOdue",283901810,7,2,1.2,1
scenario.supplierinfo_1000_1,scenario.product_142223_product_template,scenario.partner_10425,1,"AP-Gehäuse Kallysto brn H54mm, mit Bef.platte",283910993,7,2,1.65,1
scenario.supplierinfo_1001_1,scenario.product_142224_product_template,scenario.partner_10425,1,"AP-Gehäuse Kallysto be H54mm, mit Bef.platte",283910913,7,2,1.65,1
scenario.supplierinfo_1002_1,scenario.product_142225_product_template,scenario.partner_10425,1,"AP-Gehäuse Kallysto anth.H54mm, mit Bef.platte",283910043,7,2,1.65,1
