"id","name"
scenario.region_1,"Wil, Toggenburg"
scenario.region_2,"Region St. Gallen, AR, AI"
scenario.region_3,"Glarus, Walensee"
scenario.region_4,"Thurgau"
scenario.region_5,"Schaffhausen"
scenario.region_6,"Rheintal, Lichtenstein"
scenario.region_7,"NW, OW, UR"
scenario.region_8,"_Ausland"
scenario.region_9,"Zürcher Unterland"
scenario.region_10,"Winterthur, Tösstal"
scenario.region_11,"Westschweiz Nord, Jura"
scenario.region_12,"Unterwallis"
scenario.region_13,"Stadt Zürich"
scenario.region_14,"Stadt Basel"
scenario.region_15,"Solothurn, Zofingen, Langenthal"
scenario.region_16,"Schwyz"
scenario.region_17,"Region Stadt Bern"
scenario.region_18,"Region Zürichsee"
scenario.region_19,"Region Mendrisiotto, Chiasso"
scenario.region_20,"Region Lugano"
scenario.region_21,"Region Locarno"
scenario.region_22,"Region Limmattal, Knonaueramt"
scenario.region_23,"Region Leventina"
scenario.region_24,"Region Bellinzona und GR it."
scenario.region_25,"Region Baselland, Fricktal"
scenario.region_26,"Oberwallis"
scenario.region_27,"Marchairuz"
scenario.region_28,"Le grand Vaud, Fribourg"
scenario.region_29,"Lausanne u. La Côte nord-est"
scenario.region_30,"Kloten, Glatttal bis ZH Oberland"
scenario.region_31,"Kanton Zug"
scenario.region_32,"Graubünden (ohne Bergell und Puschlav)"
scenario.region_33,"Genf u. La Côte sud-ouest"
scenario.region_34,"Entlebuch, Sempach"
scenario.region_35,"Biel, Seeland"
scenario.region_36,"Berner Oberland"
scenario.region_37,"Bern Nordost, Oberaargau"
scenario.region_38,"Bergell und Puschlav"
scenario.region_39,"Agglomeration und Stadt Luzern"
scenario.region_40,"Aargau"
