id,name
slx_region_-2142967377,"Wil, Toggenburg"
slx_region_-2142967379,"Region St. Gallen, AR, AI"
slx_region_-2142967382,"Glarus, Walensee"
slx_region_-2142967384,Thurgau
slx_region_-2142967385,Schaffhausen
slx_region_-2142967386,"Rheintal, Lichtenstein"
slx_region_-2142967387,"NW, OW, UR"
slx_region_-2143786434,_Ausland
slx_region_-2144059992,Zürcher Unterland
slx_region_-2144059995,"Winterthur, Tösstal"
slx_region_-2144059996,"Westschweiz Nord, Jura"
slx_region_-2144060001,Unterwallis
slx_region_-2144060003,Stadt Zürich
slx_region_-2144060004,Stadt Basel
slx_region_-2144060005,"Solothurn, Zofingen, Langenthal"
slx_region_-2144060006,Schwyz
slx_region_-2144060013,Region Stadt Bern
slx_region_-2144060016,Region Zürichsee
slx_region_-2144060018,"Region Mendrisiotto, Chiasso"
slx_region_-2144060019,Region Lugano
slx_region_-2144060020,Region Locarno
slx_region_-2144060021,"Region Limmattal, Knonaueramt"
slx_region_-2144060024,Region Leventina
slx_region_-2144060029,Region Bellinzona und GR it.
slx_region_-2144060030,"Region Baselland, Fricktal"
slx_region_-2144060032,Oberwallis
slx_region_-2144060034,Marchairuz
slx_region_-2144060036,"Le grand Vaud, Fribourg"
slx_region_-2144060037,Lausanne u. La Côte nord-est
slx_region_-2144060038,"Kloten, Glatttal bis ZH Oberland"
slx_region_-2144060039,Kanton Zug
slx_region_-2144060040,Graubünden (ohne Bergell und Puschlav)
slx_region_-2144060041,Genf u. La Côte sud-ouest
slx_region_-2144060042,"Entlebuch, Sempach"
slx_region_-2144060043,"Biel, Seeland"
slx_region_-2144060046,Berner Oberland
slx_region_-2144060047,"Bern Nordost, Oberaargau"
slx_region_-2144060048,Bergell und Puschlav
slx_region_-2144060049,Agglomeration und Stadt Luzern
slx_region_-2144060050,Aargau
