id,sale_warn,sale_warn_msg,use_parent_address,street,supplier,city,user_id:id,zip,title,function,country_id:id,company_id,type,email,is_company,website,lang/code,fax,street2,phone,ref,active,tz,customer,credit_limit,mobile,opt_out,eev_member,eev_number,eev_alarm,region_id:id,pobox_nr,pobox_zip,pobox_city,companytype,mailing_email,mailing,department,lastname,firstname
scenario.partner_10367,warning,"
Nur Lieferadresse, Rechnung mit Kunde Nr. 133692 verrechnen!\lang1031\f1




",FALSE,Dreikönigsstrasse 18,true,Zürich,scenario.res_users_dla,8022,,,base.ch,Swisslux AG,contact,info@ekz.ch,TRUE,,de_DE,,,+41 58 3595111,10367,true,Europe/Zurich,true,3000,,TRUE,FALSE,0,FALSE,scenario.region_13,2254,8022,,,,1,,Elektrizitätswerke des Kt. Zürich,
scenario.partner_10425,warning,"{\rtf1\deff0\nouicompat\splytwnine\htmautsp\plain\ql\f1\fs17\cf1\plain\ql\f1\fs17\cf1\plain\ql{\lang2055\langfe2055\f1\fs17Shop-LogAchtung: bei Gutschriften jeweils Skonto-Abzug manuell vornehmen !!!



",FALSE,Heinrichstrasse 200,true,Zürich,scenario.res_users_dla,8005,,,base.ch,Swisslux AG,contact,em-zh@elektro-material.ch,TRUE,www.elektro-material.ch,de_DE,+41 44 278 12 91,,+41 44 278 11 11,10425,true,Europe/Zurich,true,300000,+41 44 2781241,TRUE,FALSE,0,FALSE,scenario.region_13,,8031,,,1,0,,Elektro-Material AG,
scenario.partner_11439,no-message,,FALSE,Sandbüelstr. 2,true,Volketswil,scenario.res_users_rhu,8604,,,base.ch,Swisslux AG,contact,info@awag.ch,TRUE,,de_DE,+41 44 9081999,,+41 44 9081919,11439,true,Europe/Zurich,false,0,,TRUE,FALSE,0,FALSE,scenario.region_30,,,,,1,0,,AWAG Elektrotechnik AG,
scenario.partner_12851,no-message,,FALSE,Werkstrasse 7,true,Grüningen,scenario.res_users_rhu,8627,,,base.ch,Swisslux AG,contact,elektro@kunzag.ch,TRUE,,de_DE,+41 44 9354030,,+41 44 9352442,12851,true,Europe/Zurich,true,3000,,TRUE,TRUE,8627,FALSE,scenario.region_30,,,,,1,1,,Edwin Kunz AG,
scenario.partner_13025,warning,{\rtf1\deff0\nouicompat\splytwnine\htmautsp\plain\ql{\field{\fldrslt{\lang2055\langfe2055\u,FALSE,Bernstrasse 89,true,Dietikon 2,scenario.res_users_rhu,8953,,,base.ch,Swisslux AG,contact,,TRUE,,de_DE,,,+41 44 743 43 43,13025,true,Europe/Zurich,true,3000,,TRUE,FALSE,0,FALSE,scenario.region_22,,8953,,,,0,,Confiserie Sprüngli AG,
scenario.partner_131146,no-message,,FALSE,Ueberlandstr. 1,true,Dübendorf,scenario.res_users_rhu,8600,,,base.ch,Swisslux AG,contact,info@hpstore.ch,TRUE,,de_DE,,,0848 80 20 20,131146,true,Europe/Zurich,false,0,,TRUE,FALSE,0,FALSE,scenario.region_30,,,,,,0,,Hewlett-Packard (Schweiz) GmbH,
scenario.partner_131442,no-message,,FALSE,Dorfstrasse 23,true,Aathal-Seegräben,scenario.res_users_rhu,8607,,,base.ch,Swisslux AG,contact,info@juckerfarm.ch,TRUE,www.juckerfarm.ch,de_DE,+41 44 9343485,,+41 44 9343484,131442,true,Europe/Zurich,false,0,,TRUE,FALSE,0,FALSE,scenario.region_30,,,,,,0,,Jucker Farm AG,
scenario.partner_131504,no-message,,FALSE,Erlenweg 8,true,Steinhausen,scenario.res_users_dla,6312,,,base.ch,Swisslux AG,contact,verkauf@gaerner.ch,TRUE,www.gaerner.ch,de_DE,+41 41 767 77 88,,+41 41 767 77 77,131504,true,Europe/Zurich,false,0,,TRUE,FALSE,0,FALSE,scenario.region_31,162,6312,Steinhausen,,,0,,Gaerner AG,
scenario.partner_131512,no-message,,FALSE,Schmittenweg 19,true,Zollbrück,,3436,,,base.ch,Swisslux AG,contact,,TRUE,,de_DE,,,,131512,true,Europe/Zurich,false,0,,TRUE,FALSE,0,FALSE,scenario.region_36,,,,,,0,,Lehmann Michael  ,
scenario.partner_131532,no-message,,FALSE,Zweigniederlassung Münchwilen,true,Münchwilen TG,scenario.res_users_mka,9542,,,base.ch,Swisslux AG,contact,,TRUE,www.sealedair.com,de_DE,+41 71 9692253,Postfach,+41 71 9692727,131532,true,Europe/Zurich,false,0,,TRUE,FALSE,0,FALSE,scenario.region_4,,9542,Münchwilen TG,,,0,,Diversey Europe B.V. / Utrecht,
