"id","name"
region_1,"Wil, Toggenburg"
region_2,"Region St. Gallen, AR, AI"
region_3,"Glarus, Walensee"
region_4,"Thurgau"
region_5,"Schaffhausen"
region_6,"Rheintal, Lichtenstein"
region_7,"NW, OW, UR"
region_8,"_Ausland"
region_9,"Zürcher Unterland"
region_10,"Winterthur, Tösstal"
region_11,"Westschweiz Nord, Jura"
region_12,"Unterwallis"
region_13,"Stadt Zürich"
region_14,"Stadt Basel"
region_15,"Solothurn, Zofingen, Langenthal"
region_16,"Schwyz"
region_17,"Region Stadt Bern"
region_18,"Region Zürichsee"
region_19,"Region Mendrisiotto, Chiasso"
region_20,"Region Lugano"
region_21,"Region Locarno"
region_22,"Region Limmattal, Knonaueramt"
region_23,"Region Leventina"
region_24,"Region Bellinzona und GR it."
region_25,"Region Baselland, Fricktal"
region_26,"Oberwallis"
region_27,"Marchairuz"
region_28,"Le grand Vaud, Fribourg"
region_29,"Lausanne u. La Côte nord-est"
region_30,"Kloten, Glatttal bis ZH Oberland"
region_31,"Kanton Zug"
region_32,"Graubünden (ohne Bergell und Puschlav)"
region_33,"Genf u. La Côte sud-ouest"
region_34,"Entlebuch, Sempach"
region_35,"Biel, Seeland"
region_36,"Berner Oberland"
region_37,"Bern Nordost, Oberaargau"
region_38,"Bergell und Puschlav"
region_39,"Agglomeration und Stadt Luzern"
region_40,"Aargau"
